Date,Social Volume,Social Volume AI,Positive sentiment (Total),Negative sentiment (Total),Weighted sentiment (Total)
2011-04-16T00:00:00.000Z,187,358,30.645286321640015,12.779537677764893,
2011-04-17T00:00:00.000Z,158,293,26.70216715335846,11.910003185272217,
2011-04-18T00:00:00.000Z,187,350,24.12414312362671,7.693299889564514,
2011-04-19T00:00:00.000Z,171,442,16.77244734764099,12.850447297096252,
2011-04-20T00:00:00.000Z,213,480,24.86373609304428,14.497263431549072,
2011-04-21T00:00:00.000Z,244,538,24.90736961364746,21.96158903837204,
2011-04-22T00:00:00.000Z,137,252,12.946547508239746,9.94450432062149,
2011-04-23T00:00:00.000Z,181,384,27.216852724552155,15.704353034496307,
2011-04-24T00:00:00.000Z,226,497,30.04664498567581,14.367082715034485,
2011-04-25T00:00:00.000Z,245,555,28.59562921524048,18.740494906902313,
2011-04-26T00:00:00.000Z,200,452,19.788943469524384,16.78473210334778,
2011-04-27T00:00:00.000Z,206,403,28.036841332912445,16.34911161661148,
2011-04-28T00:00:00.000Z,316,575,37.01041388511658,27.540070831775665,
2011-04-29T00:00:00.000Z,262,555,20.740939557552338,23.49537855386734,
2011-04-30T00:00:00.000Z,275,505,27.79030007123947,28.972046613693237,
2011-05-01T00:00:00.000Z,294,519,25.01749175786972,30.80814266204834,
2011-05-02T00:00:00.000Z,263,628,30.32886505126953,17.168854892253876,
2011-05-03T00:00:00.000Z,262,545,20.47436487674713,23.7705380320549,
2011-05-04T00:00:00.000Z,306,639,26.314499020576477,19.538169980049133,
2011-05-05T00:00:00.000Z,333,663,34.68256884813309,25.246577084064484,
2011-05-06T00:00:00.000Z,220,556,32.06314694881439,22.987704157829285,
2011-05-07T00:00:00.000Z,201,577,19.470029413700104,22.41885256767273,
2011-05-08T00:00:00.000Z,253,489,17.746273815631866,22.04129582643509,
2011-05-09T00:00:00.000Z,322,634,31.72088050842285,24.022894263267517,
2011-05-10T00:00:00.000Z,302,603,31.839830219745636,27.523757934570312,
2011-05-11T00:00:00.000Z,340,593,39.44972676038742,30.82474261522293,
2011-05-12T00:00:00.000Z,284,545,25.843303442001343,22.418553113937378,
2011-05-13T00:00:00.000Z,361,775,38.15775668621063,24.694544553756714,
2011-05-14T00:00:00.000Z,298,615,33.27503192424774,26.542012453079224,
2011-05-15T00:00:00.000Z,318,633,42.09094661474228,23.234769225120544,
2011-05-16T00:00:00.000Z,293,585,32.61474049091339,20.79516690969467,
2011-05-17T00:00:00.000Z,559,1028,69.07173562049866,50.188212394714355,
