"DateTime","Number of Large Transactions","Price"
"2015-04-10 00:00:00",186,237.71
"2015-04-11 00:00:00",122,236.56
"2015-04-12 00:00:00",86,234.9
"2015-04-13 00:00:00",281,228.56
"2015-04-14 00:00:00",314,219.5
"2015-04-15 00:00:00",212,220.36
"2015-04-16 00:00:00",643,226.2
"2015-04-17 00:00:00",698,224.92
"2015-04-18 00:00:00",142,222.52
"2015-04-19 00:00:00",609,224.45
"2015-04-20 00:00:00",795,224.15
"2015-04-21 00:00:00",532,229.28
"2015-04-22 00:00:00",835,235.1
"2015-04-23 00:00:00",409,234.35
"2015-04-24 00:00:00",816,232.81
"2015-04-25 00:00:00",213,227.67
"2015-04-26 00:00:00",583,220.43
"2015-04-27 00:00:00",565,229.63
"2015-04-28 00:00:00",561,225.95
"2015-04-29 00:00:00",587,224.75
"2015-04-30 00:00:00",278,232.35
"2015-05-01 00:00:00",636,235.9
"2015-05-02 00:00:00",491,234.06
"2015-05-03 00:00:00",203,238.69
"2015-05-04 00:00:00",610,240.33
"2015-05-05 00:00:00",701,235.7
"2015-05-06 00:00:00",309,232.7
"2015-05-07 00:00:00",653,234.29
"2015-05-08 00:00:00",295,241.39
"2015-05-09 00:00:00",337,243.2
"2015-05-10 00:00:00",622,241.52
"2015-05-11 00:00:00",492,241.41
"2015-05-12 00:00:00",212,241.09
"2015-05-13 00:00:00",407,238.99
"2015-05-14 00:00:00",290,235.77
"2015-05-15 00:00:00",216,237.18
"2015-05-16 00:00:00",142,236.18
"2015-05-17 00:00:00",192,236.56
"2015-05-18 00:00:00",283,234.28
"2015-05-19 00:00:00",414,232.89
"2015-05-20 00:00:00",293,233.32
"2015-05-21 00:00:00",310,235.13
"2015-05-22 00:00:00",369,238.28
"2015-05-23 00:00:00",269,239.89
"2015-05-24 00:00:00",128,239.94
"2015-05-25 00:00:00",245,238.8
"2015-05-26 00:00:00",260,237.29
"2015-05-27 00:00:00",271,237.42
"2015-05-28 00:00:00",310,237.32
"2015-05-29 00:00:00",303,236.51
"2015-05-30 00:00:00",288,234.33
"2015-05-31 00:00:00",232,231.56
"2015-06-01 00:00:00",289,226.37
"2015-06-02 00:00:00",308,224.85
"2015-06-03 00:00:00",352,225.78
"2015-06-04 00:00:00",236,225.1
"2015-06-05 00:00:00",256,224.26
"2015-06-06 00:00:00",252,224.65
"2015-06-07 00:00:00",151,224.29
"2015-06-08 00:00:00",385,226.45
"2015-06-09 00:00:00",286,229.44
"2015-06-10 00:00:00",215,229.14
"2015-06-11 00:00:00",234,229.59
"2015-06-12 00:00:00",310,230.44
"2015-06-13 00:00:00",262,231.08
"2015-06-14 00:00:00",312,233.8
"2015-06-15 00:00:00",317,235.92
"2015-06-16 00:00:00",610,244.93
"2015-06-17 00:00:00",523,251.79
"2015-06-18 00:00:00",396,247.21
"2015-06-19 00:00:00",474,247.23
"2015-06-20 00:00:00",252,242.67
"2015-06-21 00:00:00",200,243.49
"2015-06-22 00:00:00",341,245.88
"2015-06-23 00:00:00",297,245
"2015-06-24 00:00:00",273,241.78
"2015-06-25 00:00:00",380,241.49
"2015-06-26 00:00:00",472,241.82
"2015-06-27 00:00:00",467,246.7
"2015-06-28 00:00:00",228,249.11
"2015-06-29 00:00:00",477,252.75
"2015-06-30 00:00:00",655,262.05
"2015-07-01 00:00:00",338,259.71
"2015-07-02 00:00:00",461,257.19
"2015-07-03 00:00:00",337,254.58
